metric,value
v_min_min,0.9636968087584268
v_min_max,1.0000573728402429
v_min_mean,0.9932791031170564
v_max_min,1.0332949114455892
v_max_max,1.0499038857689544
v_max_mean,1.0402579993772854
v_mean_min,0.9997966829660851
v_mean_max,1.019286767954076
v_mean_mean,1.011089303216356
violating_buses_count_min,0.0
violating_buses_count_max,0.0
violating_buses_count_mean,0.0
overvoltage_buses_count_min,0.0
overvoltage_buses_count_max,0.0
overvoltage_buses_count_mean,0.0
losses_kw_min,21.02186950614063
losses_kw_max,107.33733758423745
losses_kw_mean,51.91659006868932
pv_generation_kw_min,0.0
pv_generation_kw_max,4128.0
pv_generation_kw_mean,1420.075
